"idhod","hodnota","stapro_kod","mj_cis","mj_kod","typosoby_kod","odvetvi_cis","odvetvi_kod","rok","ctvrtleti","uzemi_cis","uzemi_kod","stapro_txt","mj_txt","typosoby_txt","odvetvi_txt"
"741380834","113.3","316","78","80403","200","5103","I","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Ubytování, stravování a pohostinství"
"741371860","107.5","316","78","80403","100","5103","A","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Zemědělství, lesnictví, rybářství"
"741380614","486.7","316","78","80403","200","5103","G","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Velkoobchod a maloobchod; opravy a údržba motorových vozidel"
"741381164","41.6","316","78","80403","200","5103","L","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Činnosti v oblasti nemovitostí"
"741380174","1047.3","316","78","80403","200","5103","C","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Zpracovatelský průmysl"
"741371970","36.1","316","78","80403","100","5103","B","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Těžba a dobývání"
"741381274","148.8","316","78","80403","200","5103","M","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Profesní, vědecké a technické činnosti"
"741380284","28.7","316","78","80403","200","5103","D","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu"
"741381934","45.5","316","78","80403","200","5103","S","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Ostatní činnosti"
"741380944","94.8","316","78","80403","200","5103","J","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Informační a komunikační činnosti"
"741380064","36","316","78","80403","200","5103","B","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Těžba a dobývání"
"741381054","69.1","316","78","80403","200","5103","K","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","přepočtený","Peněžnictví a pojišťovnictví"
"741372850","97","316","78","80403","100","5103","J","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Informační a komunikační činnosti"
"741372080","1062.1","316","78","80403","100","5103","C","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Zpracovatelský průmysl"
"741372960","70.5","316","78","80403","100","5103","K","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Peněžnictví a pojišťovnictví"
"741373070","43.8","316","78","80403","100","5103","L","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Činnosti v oblasti nemovitostí"
"741373180","156.3","316","78","80403","100","5103","M","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Profesní, vědecké a technické činnosti"
"741373400","302.5","316","78","80403","100","5103","O","2010","3","97","19","Průměrný počet zaměstnaných osob","tis. osob (tis. os.)","fyzický","Veřejná správa a obrana; povinné sociální zabezpečení"
